,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
73,2014-05-27,0.18043026,0.1542719,0.119823374,0.15243165,0.13276823,0.10750371,0.09835254,0.109486096,0.12634887,0.16463143,0.17618683,0.15871793,0.13865952,0.12031501,0.107215464,0.107569985,0.11332201,0.13059667,0.15884441,0.20261042,0.17860383,0.12190113,0.11293912,0.11028121,0.112639,0.1279622,0.14917044,0.14626734,0.15698089,0.14330658,0.11050782,0.115781955,0.11789456,0.12784223,0.15276095,0.15654144,0.12938485,0.121523164,0.11390165,0.10903214,0.12042659,0.12527569,0.13697462,0.16127078,0.15958188,0.1326465,0.12730187,0.10550892,0.1097016,0.11481829,0.11806902,0.13156115,0.1559207,0.15200223,0.13742392,0.124380626,0.11435123,0.112236835,0.11494119,0.11980569,0.12465527,0.13535134,0.13392934,0.13199997,0.121376656,0.123321585,0.12983978,0.124279216,0.12519538,0.12423958,0.12938951,0.13364017
74,2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2014-06-10,,,0.90384203,,,,,,,,,,,,,0.7850889,,,,,,,,,0.698695,,,,,,,,,0.71636134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2014-06-24,0.92753714,0.9251629,0.9253344,0.92212665,,0.88874227,0.8501309,,,,,0.921696,0.9160068,,,0.8136244,,,,0.9159352,0.91840965,,,,0.7003471,0.8411118,,0.91553855,0.91612744,,,,,0.7199598,0.8586174,,0.9141953,,,,,,0.78642243,,,0.9147281,,,,,,0.823968,,,,,,,,,0.8044414,,,,,,,,,,,
78,2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2014-07-29,0.352288,0.35018185,0.33144206,0.28527558,0.28298134,0.3019423,0.3179045,0.31346357,0.32009134,0.34368676,0.3422743,0.3061926,0.28433862,0.29065204,0.30977842,0.31683192,0.31065258,0.32155147,0.32491413,0.3119612,0.2757561,0.28682283,0.3027079,0.3159056,0.31221586,0.29912513,0.30628347,0.3082096,0.289273,0.26632828,0.30251703,0.32251862,0.32236978,0.30557725,0.29107553,0.29506773,0.30367786,0.28501666,0.2806117,0.3161428,0.32330194,0.31738105,0.29619884,0.2827446,0.2844863,0.31880745,0.30734634,0.31643444,0.31914544,0.31652817,0.313068,0.280675,0.2727218,0.27141166,0.31027716,0.30933014,0.29751334,0.31570926,0.30170733,0.28982723,0.26751804,0.26381978,0.26086128,0.28954926,0.2944033,0.28687555,0.30556294,0.290133,0.27250952,0.26418042,0.26881033,0.27199197
83,2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2014-08-12,0.5701098,0.5565431,0.8010122,0.9282467,0.8971828,0.8817646,0.87387735,0.903551,0.8950523,0.4175862,0.6222229,0.90612644,0.907334,0.8959272,0.8689367,0.8422118,0.89030695,0.8924247,0.3374471,0.73022634,0.91438705,0.88861895,0.8941885,0.85509676,0.7774686,0.86231136,0.9323548,0.8130018,0.8595109,0.8702385,0.8782796,0.89709204,0.8465593,0.783518,0.86073446,0.9186583,0.9750784,0.8832137,0.8516768,0.88336885,0.9020788,0.8419753,0.8128399,0.8787325,0.9158724,0.9227251,0.8608471,0.89339256,0.90642756,0.89820284,0.87848204,0.8203431,0.8806703,0.8919707,0.8271231,0.7516784,0.84251255,0.90801626,0.8955604,0.8841987,0.8181979,0.85157406,0.8899752,0.7955029,0.75728786,0.88072705,0.9079347,0.9081386,0.89253193,0.8612947,0.8695335,0.8903903
85,2014-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2014-08-26,0.89388865,0.89175034,0.88561815,0.89160603,0.8910481,0.8745745,0.8457605,0.8735537,0.8746407,0.88714004,0.8864791,0.88732857,0.8834738,0.8874505,0.8542274,0.82405066,0.8651414,0.87422305,0.8802529,0.8812398,0.88180906,0.87762034,0.8873709,0.83600765,0.78560877,0.8557323,0.88672864,0.88129836,0.88378346,0.87543213,0.88557744,0.8897045,0.85083634,0.77474755,0.85236424,0.8816252,0.881744,0.88610935,0.8828422,0.88861066,0.88927865,0.8476852,0.8110488,0.8657588,0.8880019,0.89072746,0.8846124,0.8914846,0.8914803,0.89126,0.8632273,0.81476516,0.87509793,0.88402075,0.88855594,0.88735694,0.88977516,0.8969255,0.8874645,0.8721465,0.7930939,0.8519201,0.87476885,0.8919221,0.88922775,0.89281577,0.8988119,0.89884156,0.88218355,0.8457909,0.8629653,0.8821064
