,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
123,2015-05-12,0.40943402,0.40994617,0.41467008,0.42979684,0.44078705,0.45230237,0.45460057,0.4133193,0.41400737,0.4219985,0.439297,0.4534782,0.46322027,0.46200916,0.42034057,0.4221803,0.43228504,0.44687214,0.46116394,0.4650087,0.46036357,0.4296217,0.4301764,0.43282476,0.4419523,0.4516491,0.4603488,0.45790288,0.43243387,0.43404782,0.43460622,0.43473995,0.4409516,0.44761196,0.44916365,0.43581292,0.4377192,0.4397688,0.43332618,0.43597588,0.4396005,0.43839526
124,2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2015-06-30,0.89819795,0.8942735,0.89598215,0.9017893,0.9009312,0.90654826,0.9037633,0.8665186,0.86074364,0.8668659,0.8961219,0.908729,0.91004133,0.90259314,0.8260694,0.8281598,0.84735423,0.89210266,0.9038735,0.9048088,0.9020561,0.8078674,0.8317769,0.82810354,0.84735614,0.86114347,0.8854987,0.88,0.81231415,0.825083,0.8345296,0.83375895,0.82986945,0.83389205,0.82298964,0.81875205,0.80932,0.8215931,0.83195454,0.826205,0.8165029,0.8046994
131,2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2015-07-14,0.8816034,0.8760337,0.88127583,0.8842262,0.88446605,0.88874894,0.881779,0.8565764,0.8465761,0.8428181,0.880645,0.89329165,0.8895641,0.8796555,0.8128763,0.8122116,0.82563335,0.87236345,0.88821787,0.8884694,0.88204706,0.80146956,0.8171176,0.82122487,0.8273315,0.8533467,0.871357,0.86299914,0.8095002,0.816764,0.8241709,0.82081735,0.81756264,0.8200047,0.80996996,0.8112073,0.79450274,0.81210667,0.8145265,0.8134235,0.8048247,0.7892042
